Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0001,"S143A
S104","05:59
11:31","ST
aa","06:11
11:38","10:45
12:54","ST
bb","10:46
13:06",06:37,07:07,384
0001,"S143A
S104","05:59
11:31","ST
aa","06:11
11:38","10:45
12:54","ST
bb","10:46
13:06",06:37,07:07,"192
192"
0002,"S209
S303","05:36
10:51","ST
StinM","05:48
10:55","10:07
12:35","StinD
StinM","10:11
12:44",06:38,07:08,"25
325"
0003,"S228
S215","05:11
10:06","ST
StinC","05:23
10:10","09:20
12:10","StinK
StinC","09:24
12:19",06:38,07:08,23
0003,"S228
S215","05:11
10:06","ST
StinC","05:23
10:10","09:20
12:10","StinK
StinC","09:24
12:19",06:38,07:08,"384
197"
0004,"S226
S122","05:05
09:11","ST
bb","05:17
09:18","08:30
12:03","StinK
aa","08:34
12:15",06:40,07:10,"11
192"
0005,"S144
S118","05:39
11:16","ST
aa","05:51
11:23","10:33
12:38","StinL
bb","10:37
12:50",06:41,07:11,327
0005,"S144
S118","05:39
11:16","ST
aa","05:51
11:23","10:33
12:38","StinL
bb","10:37
12:50",06:41,07:11,322
0005,"S144
S118","05:39
11:16","ST
aa","05:51
11:23","10:33
12:38","StinL
bb","10:37
12:50",06:41,07:11,"330
192"
0006,"S229
S220","05:06
10:46","ST
StinP","05:18
10:50","09:50
12:20","StinK
StinP","09:54
12:29",06:53,07:23,"383
312"
0007,"S250A
S108","05:06
10:01","ST
aa","05:18
10:08","09:20
12:18","ST
aa","09:21
12:30",06:54,07:24,312
0007,"S250A
S108","05:06
10:01","ST
aa","05:18
10:08","09:20
12:18","ST
aa","09:21
12:30",06:54,07:24,"23
192"
0008,"S105
S123","05:00
10:06","ST
aa","05:12
10:13","09:21
12:13","bb
aa","09:28
12:25",06:55,07:25,23
0008,"S105
S123","05:00
10:06","ST
aa","05:12
10:13","09:21
12:13","bb
aa","09:28
12:25",06:55,07:25,"192
192"
0009,"S133
S222","04:33
10:16","ST
StinP","04:45
10:20","09:38
11:50","STDEP PK
StinP","09:39
11:59",06:56,07:26,325
0009,"S133
S222","04:33
10:16","ST
StinP","04:45
10:20","09:38
11:50","STDEP PK
StinP","09:39
11:59",06:56,07:26,314
0009,"S133
S222","04:33
10:16","ST
StinP","04:45
10:20","09:38
11:50","STDEP PK
StinP","09:39
11:59",06:56,07:26,"192
312"
0010,"S256
S301","05:46
11:21","ST
StinM","05:58
11:25","10:40
13:05","StinP
StinM","10:44
13:14",06:58,07:28,379
0010,"S256
S301","05:46
11:21","ST
StinM","05:58
11:25","10:40
13:05","StinP
StinM","10:44
13:14",06:58,07:28,"378
325"
